,snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat
25,4293.00 ,135.00 ,655.00 ,632.00 ,23.00 ,65.00 ,44.00 ,0.00 ,21.00 ,20.00 ,29.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,100.00 ,0.00 ,414.00 ,2.00 
26,4299.00 ,135.00 ,523.00 ,441.00 ,82.00 ,74.00 ,52.00 ,1.00 ,23.00 ,19.00 ,28.00 ,0.00 ,0.00 ,0.00 ,100.00 ,0.00 ,4.00 ,87.00 ,13.00 ,631.00 ,2.00 
27,4318.00 ,135.00 ,521.00 ,473.00 ,48.00 ,74.00 ,63.00 ,0.00 ,15.00 ,19.00 ,31.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,94.00 ,3.00 ,343.00 ,2.00 
28,4319.00 ,135.00 ,709.00 ,701.00 ,8.00 ,18.00 ,16.00 ,0.00 ,20.00 ,17.00 ,27.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,96.00 ,7.00 ,404.00 ,1.00 
29,4296.00 ,135.00 ,505.00 ,452.00 ,53.00 ,75.00 ,59.00 ,0.00 ,27.00 ,19.00 ,30.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,94.00 ,6.00 ,504.00 ,2.00 
30,4317.00 ,135.00 ,762.00 ,744.00 ,18.00 ,18.00 ,16.00 ,0.00 ,15.00 ,20.00 ,30.00 ,0.00 ,100.00 ,0.00 ,0.00 ,0.00 ,2.00 ,100.00 ,0.00 ,512.00 ,1.00 
31,4322.00 ,135.00 ,722.00 ,684.00 ,38.00 ,11.00 ,21.00 ,0.00 ,20.00 ,20.00 ,28.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,95.00 ,5.00 ,637.00 ,1.00 
32,4307.00 ,135.00 ,603.00 ,520.00 ,83.00 ,71.00 ,54.00 ,0.00 ,19.00 ,19.00 ,30.00 ,50.00 ,25.00 ,25.00 ,0.00 ,0.00 ,1.75 ,88.00 ,15.00 ,594.00 ,2.00 
33,4302.00 ,135.00 ,657.00 ,579.00 ,78.00 ,67.00 ,36.00 ,0.00 ,17.00 ,19.00 ,30.00 ,22.00 ,44.00 ,33.00 ,0.00 ,0.00 ,2.10999989509583,100.00 ,0.00 ,500.00 ,2.00 
34,4314.00 ,135.00 ,705.00 ,655.00 ,50.00 ,46.00 ,42.00 ,0.00 ,32.00 ,17.00 ,27.00 ,0.00 ,0.00 ,0.00 ,100.00 ,0.00 ,4.00 ,96.00 ,0.00 ,320.00 ,1.00 
35,4292.00 ,135.00 ,754.00 ,748.00 ,6.00 ,25.00 ,25.00 ,0.00 ,18.00 ,20.00 ,27.00 ,13.00 ,40.00 ,33.00 ,0.00 ,13.00 ,2.59999990463257,100.00 ,4.00 ,309.00 ,1.00 
36,4304.00 ,135.00 ,490.00 ,431.00 ,59.00 ,71.00 ,54.00 ,0.00 ,25.00 ,23.00 ,30.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,65.00 ,43.00 ,748.00 ,2.00 
37,4308.00 ,135.00 ,698.00 ,680.00 ,18.00 ,44.00 ,18.00 ,0.00 ,21.00 ,19.00 ,29.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,100.00 ,0.00 ,527.00 ,1.00 
38,600.00 ,140.00 ,843.00 ,805.00 ,38.00 ,NA,6.00 ,0.00 ,17.00 ,(20.00),32.00 ,6.00 ,35.00 ,22.00 ,28.00 ,9.00 ,2.98000001907349,91.00 ,6.00 ,465.00 ,1.00 
39,596.00 ,140.00 ,800.00 ,769.00 ,31.00 ,NA,6.00 ,0.00 ,41.00 ,(19.00),30.00 ,9.00 ,32.00 ,32.00 ,21.00 ,5.00 ,2.8199999332428,94.00 ,6.00 ,451.00 ,2.00 
40,611.00 ,140.00 ,857.00 ,857.00 ,0.00 ,NA,4.00 ,0.00 ,12.00 ,(20.00),32.00 ,4.00 ,11.00 ,35.00 ,31.00 ,19.00 ,3.48000001907349,100.00 ,0.00 ,432.00 ,1.00 
41,595.00 ,140.00 ,713.00 ,664.00 ,49.00 ,63.00 ,35.00 ,0.00 ,15.00 ,(21.00),32.00 ,40.00 ,29.00 ,15.00 ,12.00 ,4.00 ,2.08999991416931,92.00 ,8.00 ,524.00 ,2.00 
42,592.00 ,140.00 ,804.00 ,873.00 ,(69.00),NA,8.00 ,0.00 ,33.00 ,(21.00),35.00 ,10.00 ,30.00 ,35.00 ,20.00 ,5.00 ,2.78999996185303,97.00 ,3.00 ,427.00 ,1.00 
43,602.00 ,140.00 ,864.00 ,831.00 ,33.00 ,NA,5.00 ,0.00 ,35.00 ,(21.00),35.00 ,4.00 ,19.00 ,33.00 ,30.00 ,14.00 ,3.30999994277954,100.00 ,3.00 ,562.00 ,1.00 
44,5222.00 ,166.00 ,940.00 ,917.00 ,23.00 ,NA,2.00 ,0.00 ,3.00 ,20.00 ,31.00 ,0.00 ,0.00 ,4.00 ,28.00 ,67.00 ,4.61999988555908,90.00 ,0.00 ,305.00 ,1.00 
45,5210.00 ,166.00 ,792.00 ,779.00 ,13.00 ,NA,3.00 ,0.00 ,19.00 ,20.00 ,31.00 ,2.00 ,5.00 ,17.00 ,38.00 ,38.00 ,4.05000019073486,84.00 ,0.00 ,467.00 ,1.00 
46,5217.00 ,166.00 ,887.00 ,882.00 ,5.00 ,NA,5.00 ,0.00 ,14.00 ,21.00 ,31.00 ,0.00 ,4.00 ,7.00 ,32.00 ,57.00 ,4.42000007629395,93.00 ,10.00 ,520.00 ,1.00 
47,3644.00 ,209.00 ,775.00 ,726.00 ,49.00 ,NA,13.00 ,0.00 ,18.00 ,21.00 ,33.00 ,4.00 ,10.00 ,35.00 ,36.00 ,16.00 ,3.50999999046326,93.00 ,7.00 ,816.00 ,1.00 
48,3643.00 ,209.00 ,822.00 ,766.00 ,56.00 ,NA,10.00 ,1.00 ,47.00 ,21.00 ,32.00 ,1.00 ,11.00 ,29.00 ,38.00 ,19.00 ,3.63000011444092,95.00 ,3.00 ,830.00 ,1.00 
49,3624.00 ,209.00 ,806.00 ,745.00 ,61.00 ,NA,6.00 ,1.00 ,25.00 ,19.00 ,30.00 ,5.00 ,30.00 ,28.00 ,21.00 ,16.00 ,3.11999988555908,90.00 ,5.00 ,487.00 ,1.00 
50,3623.00 ,209.00 ,816.00 ,745.00 ,71.00 ,NA,6.00 ,0.00 ,18.00 ,19.00 ,32.00 ,6.00 ,17.00 ,27.00 ,36.00 ,14.00 ,3.34999990463257,100.00 ,0.00 ,307.00 ,1.00 
51,3629.00 ,209.00 ,553.00 ,485.00 ,68.00 ,86.00 ,38.00 ,1.00 ,32.00 ,20.00 ,32.00 ,33.00 ,28.00 ,27.00 ,8.00 ,4.00 ,2.20000004768372,95.00 ,5.00 ,819.00 ,3.00 
52,3622.00 ,209.00 ,686.00 ,633.00 ,53.00 ,75.00 ,33.00 ,1.00 ,24.00 ,21.00 ,32.00 ,32.00 ,35.00 ,16.00 ,14.00 ,3.00 ,2.21000003814697,98.00 ,2.00 ,744.00 ,2.00 
53,4017.00 ,238.00 ,483.00 ,444.00 ,39.00 ,79.00 ,40.00 ,1.00 ,24.00 ,20.00 ,28.00 ,37.00 ,27.00 ,27.00 ,7.00 ,3.00 ,2.13000011444092,87.00 ,13.00 ,672.00 ,2.00 
54,58.00 ,248.00 ,801.00 ,765.00 ,36.00 ,NA,12.00 ,0.00 ,18.00 ,19.00 ,30.00 ,7.00 ,16.00 ,25.00 ,36.00 ,15.00 ,3.34999990463257,89.00 ,14.00 ,416.00 ,1.00 
55,70.00 ,248.00 ,753.00 ,694.00 ,59.00 ,25.00 ,19.00 ,0.00 ,14.00 ,21.00 ,29.00 ,10.00 ,22.00 ,19.00 ,34.00 ,16.00 ,3.25 ,85.00 ,20.00 ,286.00 ,1.00 
56,65.00 ,248.00 ,903.00 ,889.00 ,14.00 ,NA,8.00 ,0.00 ,21.00 ,22.00 ,30.00 ,1.00 ,9.00 ,15.00 ,34.00 ,41.00 ,4.05999994277954,77.00 ,23.00 ,488.00 ,1.00 
57,657.00 ,253.00 ,454.00 ,443.00 ,11.00 ,100.00 ,53.00 ,1.00 ,21.00 ,19.00 ,29.00 ,47.00 ,33.00 ,11.00 ,8.00 ,0.00 ,1.82000005245209,93.00 ,11.00 ,656.00 ,3.00 
58,697.00 ,253.00 ,440.00 ,428.00 ,12.00 ,100.00 ,67.00 ,1.00 ,19.00 ,19.00 ,29.00 ,58.00 ,26.00 ,12.00 ,3.00 ,1.00 ,1.63999998569489,88.00 ,19.00 ,577.00 ,3.00 
59,646.00 ,253.00 ,519.00 ,491.00 ,28.00 ,93.00 ,33.00 ,0.00 ,19.00 ,19.00 ,29.00 ,43.00 ,27.00 ,19.00 ,10.00 ,1.00 ,2.00999999046326,100.00 ,5.00 ,523.00 ,3.00 
60,640.00 ,253.00 ,512.00 ,477.00 ,35.00 ,84.00 ,33.00 ,1.00 ,24.00 ,19.00 ,29.00 ,27.00 ,35.00 ,21.00 ,16.00 ,2.00 ,2.30999994277954,98.00 ,10.00 ,672.00 ,3.00 
61,629.00 ,253.00 ,525.00 ,522.00 ,3.00 ,92.00 ,41.00 ,1.00 ,15.00 ,19.00 ,30.00 ,45.00 ,34.00 ,14.00 ,6.00 ,1.00 ,1.85000002384186,98.00 ,2.00 ,678.00 ,3.00 
62,659.00 ,253.00 ,486.00 ,480.00 ,6.00 ,90.00 ,44.00 ,1.00 ,27.00 ,19.00 ,30.00 ,47.00 ,32.00 ,12.00 ,8.00 ,2.00 ,1.85000002384186,94.00 ,15.00 ,680.00 ,3.00 
63,699.00 ,253.00 ,437.00 ,409.00 ,28.00 ,90.00 ,70.00 ,1.00 ,17.00 ,19.00 ,29.00 ,64.00 ,20.00 ,8.00 ,7.00 ,0.00 ,1.5900000333786,93.00 ,15.00 ,700.00 ,3.00 
64,637.00 ,253.00 ,447.00 ,409.00 ,38.00 ,100.00 ,51.00 ,0.00 ,22.00 ,20.00 ,29.00 ,61.00 ,19.00 ,15.00 ,4.00 ,2.00 ,1.66999995708466,100.00 ,7.00 ,396.00 ,3.00 
65,663.00 ,253.00 ,518.00 ,499.00 ,19.00 ,86.00 ,22.00 ,0.00 ,18.00 ,19.00 ,29.00 ,15.00 ,36.00 ,27.00 ,19.00 ,2.00 ,2.5699999332428,93.00 ,13.00 ,495.00 ,3.00 
66,633.00 ,253.00 ,479.00 ,466.00 ,13.00 ,100.00 ,59.00 ,1.00 ,21.00 ,19.00 ,30.00 ,59.00 ,26.00 ,9.00 ,5.00 ,1.00 ,1.62999999523163,94.00 ,10.00 ,929.00 ,3.00 
67,690.00 ,253.00 ,424.00 ,343.00 ,81.00 ,100.00 ,36.00 ,0.00 ,20.00 ,17.00 ,26.00 ,46.00 ,28.00 ,16.00 ,10.00 ,0.00 ,1.9099999666214,87.00 ,20.00 ,205.00 ,3.00 
68,2982.00 ,259.00 ,536.00 ,465.00 ,71.00 ,93.00 ,84.00 ,0.00 ,14.00 ,21.00 ,29.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,92.00 ,8.00 ,570.00 ,3.00 
69,3000.00 ,259.00 ,628.00 ,554.00 ,74.00 ,75.00 ,74.00 ,0.00 ,25.00 ,20.00 ,28.00 ,0.00 ,0.00 ,50.00 ,50.00 ,0.00 ,3.50 ,84.00 ,16.00 ,485.00 ,2.00 
70,2997.00 ,259.00 ,627.00 ,546.00 ,81.00 ,71.00 ,71.00 ,0.00 ,15.00 ,20.00 ,33.00 ,39.00 ,24.00 ,15.00 ,20.00 ,2.00 ,2.22000002861023,96.00 ,4.00 ,410.00 ,2.00 
71,3005.00 ,259.00 ,596.00 ,534.00 ,62.00 ,65.00 ,46.00 ,0.00 ,20.00 ,21.00 ,29.00 ,40.00 ,42.00 ,14.00 ,3.00 ,0.00 ,1.80999994277954,100.00 ,0.00 ,224.00 ,2.00 
72,2972.00 ,259.00 ,664.00 ,617.00 ,47.00 ,72.00 ,71.00 ,0.00 ,13.00 ,19.00 ,30.00 ,19.00 ,30.00 ,26.00 ,23.00 ,2.00 ,2.57999992370605,91.00 ,13.00 ,306.00 ,2.00 
73,3011.00 ,259.00 ,655.00 ,620.00 ,35.00 ,56.00 ,52.00 ,0.00 ,19.00 ,21.00 ,29.00 ,24.00 ,34.00 ,32.00 ,10.00 ,0.00 ,2.26999998092651,96.00 ,4.00 ,447.00 ,2.00 
74,2977.00 ,259.00 ,616.00 ,566.00 ,50.00 ,75.00 ,65.00 ,0.00 ,23.00 ,21.00 ,31.00 ,34.00 ,31.00 ,15.00 ,19.00 ,1.00 ,2.22000002861023,93.00 ,7.00 ,432.00 ,2.00 
75,3013.00 ,259.00 ,538.00 ,497.00 ,41.00 ,80.00 ,82.00 ,0.00 ,19.00 ,21.00 ,31.00 ,24.00 ,42.00 ,22.00 ,7.00 ,5.00 ,2.26999998092651,91.00 ,9.00 ,544.00 ,2.00 
76,3024.00 ,259.00 ,727.00 ,670.00 ,57.00 ,60.00 ,50.00 ,0.00 ,24.00 ,21.00 ,30.00 ,21.00 ,24.00 ,17.00 ,25.00 ,12.00 ,2.82999992370605,100.00 ,0.00 ,547.00 ,2.00 
77,3004.00 ,259.00 ,822.00 ,787.00 ,35.00 ,NA,4.00 ,0.00 ,10.00 ,19.00 ,27.00 ,0.00 ,19.00 ,19.00 ,29.00 ,33.00 ,3.75999999046326,87.00 ,13.00 ,313.00 ,1.00 
78,3010.00 ,259.00 ,638.00 ,569.00 ,69.00 ,80.00 ,71.00 ,0.00 ,11.00 ,20.00 ,31.00 ,64.00 ,30.00 ,4.00 ,2.00 ,0.00 ,1.44000005722046,93.00 ,7.00 ,705.00 ,2.00 
79,2460.00 ,284.00 ,581.00 ,497.00 ,84.00 ,70.00 ,26.00 ,0.00 ,14.00 ,23.00 ,25.00 ,22.00 ,29.00 ,23.00 ,21.00 ,6.00 ,2.59999990463257,63.00 ,32.00 ,182.00 ,2.00 
80,2479.00 ,284.00 ,784.00 ,739.00 ,45.00 ,23.00 ,25.00 ,0.00 ,21.00 ,21.00 ,36.00 ,5.00 ,21.00 ,20.00 ,44.00 ,10.00 ,3.3199999332428,58.00 ,25.00 ,166.00 ,1.00 
81,2459.00 ,284.00 ,871.00 ,840.00 ,31.00 ,NA,15.00 ,0.00 ,15.00 ,21.00 ,34.00 ,1.00 ,8.00 ,13.00 ,41.00 ,36.00 ,4.01999998092651,83.00 ,13.00 ,404.00 ,1.00 
82,105.00 ,294.00 ,567.00 ,535.00 ,32.00 ,62.00 ,43.00 ,0.00 ,20.00 ,20.00 ,31.00 ,19.00 ,24.00 ,32.00 ,21.00 ,4.00 ,2.67000007629395,80.00 ,25.00 ,626.00 ,2.00 
83,94.00 ,294.00 ,620.00 ,592.00 ,28.00 ,51.00 ,20.00 ,0.00 ,20.00 ,19.00 ,31.00 ,10.00 ,28.00 ,40.00 ,15.00 ,7.00 ,2.78999996185303,88.00 ,12.00 ,242.00 ,2.00 
84,93.00 ,294.00 ,761.00 ,726.00 ,35.00 ,15.00 ,3.00 ,0.00 ,21.00 ,20.00 ,29.00 ,1.00 ,14.00 ,30.00 ,37.00 ,19.00 ,3.59999990463257,86.00 ,14.00 ,267.00 ,1.00 
85,116.00 ,294.00 ,513.00 ,508.00 ,5.00 ,82.00 ,56.00 ,0.00 ,16.00 ,NA,31.00 ,25.00 ,36.00 ,26.00 ,10.00 ,4.00 ,2.30999994277954,46.00 ,42.00 ,558.00 ,3.00 
86,3236.00 ,316.00 ,912.00 ,900.00 ,12.00 ,NA,7.00 ,0.00 ,22.00 ,21.00 ,30.00 ,0.00 ,0.00 ,33.00 ,0.00 ,67.00 ,4.32999992370605,97.00 ,6.00 ,611.00 ,1.00 
87,3240.00 ,316.00 ,883.00 ,821.00 ,62.00 ,NA,20.00 ,0.00 ,35.00 ,19.00 ,31.00 ,0.00 ,0.00 ,0.00 ,100.00 ,0.00 ,4.00 ,100.00 ,0.00 ,440.00 ,1.00 
88,3241.00 ,316.00 ,844.00 ,834.00 ,10.00 ,NA,14.00 ,0.00 ,21.00 ,21.00 ,26.00 ,0.00 ,0.00 ,67.00 ,33.00 ,0.00 ,3.32999992370605,100.00 ,3.00 ,381.00 ,1.00 
89,3256.00 ,316.00 ,880.00 ,841.00 ,39.00 ,NA,7.00 ,0.00 ,11.00 ,21.00 ,31.00 ,0.00 ,50.00 ,50.00 ,0.00 ,0.00 ,2.50 ,90.00 ,3.00 ,503.00 ,1.00 
90,3250.00 ,316.00 ,894.00 ,881.00 ,13.00 ,NA,4.00 ,0.00 ,13.00 ,20.00 ,26.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,97.00 ,0.00 ,466.00 ,1.00 
91,3247.00 ,316.00 ,858.00 ,818.00 ,40.00 ,NA,8.00 ,0.00 ,17.00 ,20.00 ,27.00 ,0.00 ,20.00 ,0.00 ,80.00 ,0.00 ,3.59999990463257,95.00 ,5.00 ,357.00 ,1.00 
92,3258.00 ,316.00 ,847.00 ,817.00 ,30.00 ,NA,7.00 ,0.00 ,17.00 ,20.00 ,31.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,100.00 ,0.00 ,388.00 ,1.00 
93,1497.00 ,395.00 ,604.00 ,529.00 ,75.00 ,100.00 ,68.00 ,1.00 ,12.00 ,20.00 ,35.00 ,48.00 ,33.00 ,13.00 ,6.00 ,1.00 ,1.77999997138977,37.00 ,53.00 ,591.00 ,3.00 
94,1478.00 ,395.00 ,553.00 ,466.00 ,87.00 ,100.00 ,70.00 ,1.00 ,11.00 ,19.00 ,35.00 ,62.00 ,25.00 ,9.00 ,3.00 ,0.00 ,1.53999996185303,73.00 ,17.00 ,637.00 ,3.00 
95,1474.00 ,395.00 ,657.00 ,567.00 ,90.00 ,64.00 ,19.00 ,0.00 ,25.00 ,19.00 ,32.00 ,23.00 ,46.00 ,17.00 ,14.00 ,1.00 ,2.24000000953674,90.00 ,3.00 ,403.00 ,2.00 
96,1511.00 ,395.00 ,492.00 ,500.00 ,(8.00),89.00 ,48.00 ,0.00 ,42.00 ,18.00 ,31.00 ,32.00 ,32.00 ,24.00 ,10.00 ,2.00 ,2.19000005722046,44.00 ,47.00 ,810.00 ,3.00 
97,1539.00 ,395.00 ,700.00 ,711.00 ,(11.00),80.00 ,51.00 ,0.00 ,11.00 ,20.00 ,34.00 ,26.00 ,27.00 ,30.00 ,13.00 ,4.00 ,2.44000005722046,83.00 ,14.00 ,295.00 ,2.00 
98,1490.00 ,395.00 ,590.00 ,552.00 ,38.00 ,89.00 ,58.00 ,1.00 ,16.00 ,19.00 ,33.00 ,29.00 ,39.00 ,22.00 ,7.00 ,2.00 ,2.13000011444092,58.00 ,29.00 ,837.00 ,3.00 
99,1500.00 ,395.00 ,777.00 ,752.00 ,25.00 ,NA,11.00 ,0.00 ,15.00 ,20.00 ,34.00 ,4.00 ,32.00 ,23.00 ,31.00 ,10.00 ,3.10999989509583,84.00 ,9.00 ,669.00 ,1.00 
100,1515.00 ,395.00 ,667.00 ,625.00 ,42.00 ,85.00 ,52.00 ,1.00 ,18.00 ,19.00 ,34.00 ,41.00 ,36.00 ,12.00 ,8.00 ,3.00 ,1.97000002861023,80.00 ,16.00 ,621.00 ,3.00 
101,1512.00 ,395.00 ,769.00 ,752.00 ,17.00 ,47.00 ,20.00 ,0.00 ,17.00 ,16.00 ,25.00 ,16.00 ,11.00 ,30.00 ,30.00 ,13.00 ,3.13000011444092,95.00 ,5.00 ,467.00 ,2.00 
102,1475.00 ,395.00 ,650.00 ,631.00 ,19.00 ,78.00 ,33.00 ,0.00 ,21.00 ,19.00 ,32.00 ,19.00 ,37.00 ,26.00 ,11.00 ,8.00 ,2.51999998092651,85.00 ,15.00 ,262.00 ,2.00 
103,1522.00 ,395.00 ,561.00 ,427.00 ,134.00 ,100.00 ,86.00 ,1.00 ,8.00 ,20.00 ,35.00 ,44.00 ,37.00 ,14.00 ,5.00 ,0.00 ,1.80999994277954,48.00 ,31.00 ,795.00 ,3.00 
104,1472.00 ,395.00 ,561.00 ,537.00 ,24.00 ,83.00 ,28.00 ,0.00 ,21.00 ,19.00 ,34.00 ,7.00 ,39.00 ,25.00 ,26.00 ,3.00 ,2.78999996185303,45.00 ,41.00 ,750.00 ,3.00 
105,1516.00 ,395.00 ,597.00 ,543.00 ,54.00 ,100.00 ,71.00 ,1.00 ,15.00 ,20.00 ,34.00 ,55.00 ,26.00 ,13.00 ,5.00 ,1.00 ,1.71000003814697,68.00 ,32.00 ,590.00 ,3.00 
106,1489.00 ,395.00 ,568.00 ,507.00 ,61.00 ,84.00 ,55.00 ,1.00 ,16.00 ,20.00 ,33.00 ,33.00 ,47.00 ,14.00 ,4.00 ,2.00 ,1.96000003814697,78.00 ,15.00 ,1029.00 ,3.00 
107,1493.00 ,395.00 ,637.00 ,622.00 ,15.00 ,78.00 ,30.00 ,0.00 ,28.00 ,19.00 ,29.00 ,24.00 ,25.00 ,24.00 ,22.00 ,5.00 ,2.58999991416931,59.00 ,23.00 ,891.00 ,2.00 
