i,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
22,10.06872328,6.4883894368,9.1009662319,143.87863602,6.2690250442,14.741311938,0.0557170642,10.750824798,14.902642788,18.037495846,48.76078187
23,10.13318164,23.351891957,13.049299721,178.71558887,8.8276698208,48.3385671,26.725272899,14.477477247,38.677545259,127.50267357,202.49582515
24,13.030268223,0.7656440485,8.9909681417,60.035942992,15.804126019,5.3873483881,3.9419670912,10.557339099,8.9122657873,288.2255629,4.4201065874
25,6.9109559394,0.0015735052,6.3380505104,164.96902849,6.4387686567,0.4049681179,1.6334498909,17.52650034,18.009495325,123.33237865,19.272636108
26,7.8092756204,0.0115776359,14.313330301,93.453606573,8.854994922,0.6158812488,0.351706471,11.451495138,11.530355086,277.0970168,18.065457515
27,16.147778876,2.8888285679,6.5430217756,128.45465534,23.815497053,7.3380600025,0.0152462497,11.89548893,17.293357624,418.69461961,43.519588232
28,18.484812878,0.2553533331,7.1087195827,179.98634864,16.917665535,1.5821802946,1.25566838,11.017335095,15.487127483,180.85465148,38.902275628
29,15.758974321,0.0622818429,9.5008895427,129.2301018,10.508703857,4.8346306354,733.31558238,17.413383946,15.779968373,403.61640494,13.061974266
30,-3.4891598,1.0510053309,8.4162264613,146.88216949,-3.765793336,2.111173584,2.2637591982,13.024966282,14.060708747,308.66170848,27.338378821
31,6.341029845,8.8955002737,6.796951034,113.35948608,8.3769724016,18.049538975,0.7582222007,15.463908418,20.434890743,133.17578714,59.359456659
32,11.582779438,0.0344911609,9.0937344516,40.062188107,18.300544938,1.0182934505,0.0110017344,17.490576926,18.359388489,159.96428517,25.696106696
33,5.9134087012,0.0520522213,7.7565656755,67.472111951,6.990205125,2.53875254,0.0001333001,12.839337253,11.081240079,170.5564429,2.0754541356
34,18.745362557,1.065782365,12.477866433,106.53283021,19.737325936,2.1401777869,0.1804130227,17.598664205,20.509985354,222.13622033,36.871872313
35,12.020632407,28.431747688,10.303164383,157.66305525,10.467786228,56.993236621,0.2010247332,13.450618503,44.04389638,122.66592446,245.83565035
36,6.211927796,26.70792241,8.1310336912,208.78752267,0.7271536601,55.711394122,0.001560744,13.389631038,38.410771159,251.08937785,220.63477686
37,12.32238897,1.8178496838,12.690914435,166.59582843,7.843150334,3.7758864228,9.3263046992,13.693346711,14.354543141,252.27952477,25.666140257
38,13.354726424,0.8060210177,7.5370852475,125.51773299,20.285658007,1.9348483077,3.8783020262,17.093520354,19.618989584,33.132677977,31.783157883
39,14.958690162,5603.7068537,14.514032779,-25.45598726,10.296314464,11209.09249,44.694357672,15.599008358,5617.5242472,62.841837797,44838.190418
40,12.87835215,2.7473781102,9.3299251722,101.11290093,15.750711076,5.5210855305,0.0285809825,13.243364514,16.60556845,124.88339486,41.374575667
41,7.1716714902,1.5060711212,10.949343623,97.255758456,7.5358964131,4.235330389,0.001082035,13.841019789,15.163139616,215.07769645,28.196997636
42,7.7777061363,0.2396057808,12.212402288,54.86670576,13.376119418,1.1200137372,0.0001073942,10.004544042,10.382761306,232.14537387,17.305443804
43,18.669437339,0.4984603917,5.4465696125,130.06170028,15.367217192,1.1618198927,0.4812160705,11.579248451,10.801790166,199.43663943,9.547316931
44,11.824133749,0.0053377002,6.2147692597,150.37785199,14.494080494,2.7238323676,0.0000645914,14.837525109,16.810083773,292.27069016,26.744249843
45,15.394817582,2.6956729217,8.4986996667,45.849469242,14.272249943,6.455483482,0.3388727072,10.298333869,16.344147458,47.478841978,50.246013771
46,6.7330375978,88.797471672,14.832156519,80.349211066,9.6269008681,178.20685846,0.0979527436,13.692251963,101.64259962,192.79567323,711.8114802
47,10.865511211,0.248458016,14.246912934,166.96111177,7.8255476791,0.9572652634,26.063836492,17.786696542,15.377904144,129.40116887,12.443391053
48,11.095641549,0.0378744325,9.0961769429,2.310124756,15.513258653,1.304177237,0.033603178,13.283736722,12.073174412,206.99609204,3.6771862618
49,14.396660517,188.15763353,14.580552438,120.8862566,16.405963063,376.36426408,5.034096618,14.64040835,202.46950342,77.048516715,1517.6658274
50,13.959677664,0.42465728,12.714096665,133.06012166,12.762797065,1.8266728437,2.9451013695,16.585596777,20.884032532,109.35664736,41.006862106
51,9.3123728538,0.3006317196,11.994518226,124.90789449,8.5640194878,2.2396596248,0.0118527459,13.949461473,11.362237365,236.15858977,3.2535469585
52,8.145631625,0.0043496443,13.481120522,25.35397891,9.8193037188,0.1533284329,1.2654536693,14.817311952,13.566413256,167.91658559,9.9649216605
53,14.233876797,8.6381268601,12.768499873,39.313546747,19.117371487,18.502094446,55.817307052,11.767192737,21.846639195,451.14788191,84.070704154
54,5.292529017,0.0038139122,10.870439967,73.701135162,2.7060962511,5.4755320846,0.5697379865,16.156339037,14.805411201,122.87523792,6.7743957971
55,22.575490865,0.6509600937,14.068280616,94.017998289,16.862653472,1.3172818393,4858.2287312,16.861152395,17.167870025,112.22430142,18.024100609
56,14.034597454,2.7586829853,9.7605306072,58.525730265,15.77101486,7.0556701839,385.8633584,17.773019798,19.576458191,86.640695743,35.395034002
57,22.694017846,218.87588102,7.97126996,63.88838427,19.115908432,439.11158614,6.9505562362,10.843934231,229.08138103,206.63343415,1755.9929226
58,14.805717302,5.4842683463,6.0450187749,152.0758289,13.391884729,11.906727317,0.6574305476,13.853942247,20.340031351,266.61021144,63.381228375
59,8.5439657073,0.0063613157,11.675159743,126.78591026,7.6654206106,0.4897319781,29.568274012,17.091969233,16.063727656,263.70584624,14.150002999
60,8.0488615464,0.8925864643,8.6226022866,87.26969868,11.705543392,2.0694157519,0.1796936951,12.028185741,13.19663378,326.7138026,17.416580481
61,6.60171999,0.8370015417,6.1438962217,71.673374982,-1.856004294,2.2517768092,0.0828573244,11.879955844,14.257005513,108.31180496,26.092100759
62,5.2968448854,0.0041666803,6.0011360147,30.199706499,6.0277219396,1.7423757868,1.2855604975,10.617051028,7.5870709188,215.69614885,-2.707921219
63,3.3713214322,0.1009904312,13.185695875,169.90515843,-0.713378604,0.2176228217,0.650196913,14.725776932,18.256554084,280.88897443,36.375748148
64,10.078117595,1.060357346,9.4612438578,145.06180444,9.1517519123,2.6519962033,0.7368307483,13.832908893,18.193160939,234.0811807,42.379662246
65,11.575593382,26.190407149,12.24811803,157.7197012,16.377742624,53.364219358,2.0648182152,16.002765159,39.492402621,193.36963456,213.4880876
66,14.060939625,60.453685543,14.325976916,7.2760350665,15.590810457,121.26706558,1.0652267293,16.639510679,77.126651376,132.93081877,497.44426429
67,10.450323201,0.3113874358,7.3824280325,108.77966416,9.0755207174,4.9934306747,1054.8217201,11.750314434,13.807384505,-14.55771494,23.096138732
68,15.074723061,5.313791135,7.6317558636,171.3117542,20.902329644,10.722931631,426.10367565,10.165035483,19.21956083,146.52985316,68.994067092
69,8.9646488235,1.1885283905,7.3964674549,50.002446985,10.826933775,3.7492052436,0.0290704864,13.653293675,12.55300724,215.48524626,8.5360545893
70,11.563825565,0.2293556557,11.477590677,146.22868346,11.478682525,0.7417546998,0.0289545497,10.559068699,10.99201271,200.14844984,13.157840044
71,9.5893012162,0.1560758979,7.7566449962,112.44380124,8.293809039,0.7187075801,0.0237524202,11.533789304,10.859061578,174.4052203,12.739928374
72,3.8913320767,94.463566515,14.604530171,68.516430018,4.9699233727,189.45057665,4.7388723719,13.469333721,108.69661073,136.83514485,774.00492419
73,16.135333649,76.480849306,13.888938729,80.305637676,15.798851083,153.73989046,0.0025490247,10.711356223,85.150314985,173.58700891,611.30713432
74,21.205711052,11.139768783,5.8951852149,140.62516375,19.576093452,22.294241982,86.466520027,13.057139663,23.338389656,322.44153497,95.364908263
75,12.556303509,0.1493102884,8.5084763232,95.148651275,9.2587730325,1.4668762592,0.0001562012,17.799018584,18.798964974,107.40794675,16.847643612
76,3.993445961,0.6177856696,8.2391764704,118.68283924,5.0794326382,1.5316412592,1.1021715866,11.385802061,13.253028456,297.16870687,24.70432949
77,9.3085179506,1.9125428387,13.999087456,108.61562846,6.4856513453,4.4578104482,0.0482701772,16.469173811,21.423971728,154.80242252,48.187866742
78,17.094793652,0.0212448944,6.2717769906,63.238383693,14.800752028,0.0702945353,0.1123924849,11.773778667,14.012822249,351.160992,24.871621524
79,4.8828565031,0.2986654825,9.3001340257,95.078446827,12.740180219,1.7309708366,0.7332543711,13.516087418,13.641202782,44.760616277,16.589591554
80,9.60207184,0.0860958404,12.111494018,76.078239512,10.985857219,0.4907315472,0.0684970669,17.839417469,19.847904873,153.22460813,29.988073181
81,6.4048636735,1.5483747537,13.273224387,63.526253896,3.4645117603,3.5949777422,0.3891287422,17.090628642,18.201026705,167.18301333,27.765428615
82,12.097983253,8.6201597E-6,12.428148332,69.601775822,11.521871622,0.0637488326,0.3105641047,15.572839207,17.842405946,70.263683323,27.950212875
83,10.231986808,0.3898551416,8.2933218606,73.451240159,7.366251422,2.3279766098,0.076916072,17.415993053,15.963004416,219.42603298,9.9309233515
84,18.84749076,0.0503386762,7.2412846155,98.445282799,18.987197459,0.3139836172,0.0189167502,10.177314237,10.813951043,149.9514248,16.445592421
85,-0.73686979,0.1502188969,11.721565801,93.272326717,3.2373816104,1.4694254795,190798.99359,11.693748933,10.018677491,262.22382648,5.4232486785
86,13.24223481,0.9225671326,11.942627759,122.13835802,13.082305839,2.5805233872,8351.6551389,15.371668941,16.712262326,314.60944619,29.26948879
87,12.941815621,0.2227004426,6.1763294419,167.54261619,14.419756064,5.6424174176,0.2842096999,17.858313065,17.300252418,107.9109076,18.474239301
88,16.827630068,0.2168431943,13.083003367,118.59250521,19.538999584,2.7576997162,0.0069261009,14.049458826,14.565943686,196.40029913,19.431750101
89,7.1561484902,0.0001528936,5.5057728153,123.65900604,3.6851762311,0.896727349,0.0093733291,15.102098583,15.463579689,-73.36487385,19.583513392
90,18.45326469,0.0534066732,9.3836251993,47.729350747,21.713810052,0.9036658534,0.1477487213,15.049058116,17.76340072,180.19614826,29.670147916
91,15.661755279,293.33644283,6.5094786377,127.5719091,26.632535989,590.30642265,0.0858455838,11.379458257,306.0029647,156.8053478,2363.9313628
92,5.6389493272,158.36379442,11.674340668,117.40339543,4.3480665068,317.82060776,1.9576490552,17.767286632,173.72542137,218.59061522,1271.0157043
93,1.1263442194,2.4870487939,8.0678577642,87.77090365,1.5845563176,6.5647726986,0.3572518339,15.069666634,18.979085015,228.11711793,42.257028915
94,11.099591987,9.2939512517,6.8454473195,133.66930622,9.800761133,18.612033012,0.3470332669,10.535265155,19.265980763,211.15132292,82.444337741
95,12.373861096,84.095012393,6.1546271346,102.31797356,10.994540502,168.25691387,19.163943859,10.791030746,97.686454918,162.7649007,700.61275611
96,18.373874215,38.808190786,14.802459506,59.072325169,18.479825836,80.066676369,3.4639962732,15.150389227,54.61039145,192.45386169,328.12581949
97,14.104951717,0.0391323387,8.4260004821,65.032326291,15.777098802,1.1878265347,0.2250371686,13.025530071,15.726942172,19.175538394,23.571394282
98,12.563850337,2.7625644294,11.714849717,81.415990844,13.836325994,6.4316974131,0.0013854832,12.032250171,15.040966452,88.070895011,43.673821909
99,9.3138594667,4.3973468067,14.89677499,30.27987203,10.771246965,10.55372867,0.0052124431,16.721511542,19.799364076,157.13557973,40.332394242
100,15.823804673,0.2246256375,11.353763131,93.138576797,12.228475782,1.3103702635,599.40511295,16.300859186,20.36795291,0.7144106606,38.438430932
101,10.203011035,3.0642110676,10.476023809,150.62985405,10.501601582,7.3377396717,72.012536199,11.728786723,12.388460187,191.72789777,26.350000875
102,8.990173663,0.5444572004,7.8819998227,125.94763403,7.0127172503,3.1151622879,2.2602275898,12.055535154,15.25308264,82.031921546,28.233191105
103,11.595176537,3.9587081502,5.0485480624,82.251538641,17.603081139,8.6044974406,35.238070222,12.113484972,14.309548073,124.13990502,32.397884445
104,1.5512710355,227.62844389,8.5459445853,79.381083929,1.5409730956,456.81821722,0.0002075628,13.489838248,241.61660342,193.54311988,1836.3110042
105,11.921345982,0.1300120904,11.445930519,111.13409213,15.567489327,1.6893842431,6811.6394887,14.738088647,13.879442834,277.5328687,6.9363791625
106,10.018564334,0.0206195319,7.093466959,62.957640335,9.1173718854,1.5683339895,1.6110662297,15.197385321,15.452926844,278.145418,14.056732554
107,12.404151413,0.6918381788,10.856059564,28.758207699,12.598686302,2.2642689701,0.0745967962,13.24213217,13.209266926,232.88854386,13.209398118
108,13.322672725,0.2846943141,14.151942562,54.366914762,12.968784242,3.6709333157,1.2938758917,16.23853075,14.780526432,197.37081174,8.3549858159
109,12.341685677,0.1432869511,13.136508608,-54.25620665,11.150749937,0.3497490753,0.0327057758,10.53702813,10.139193073,252.8186339,13.499264346
110,8.8847427903,0.3285459693,10.323959717,70.961378548,4.6226487373,1.3646154215,0.0013617204,11.489538704,10.984413376,47.896033707,11.922818782
111,-2.331045529,18.282688082,11.721403611,182.02547027,-4.122442959,36.678663323,4046.1701926,13.112102525,31.661833547,202.0942663,162.46769195
112,10.758213102,8.7161400136,14.741048682,96.599346318,11.175802353,18.320717613,9.7883188723,11.571303834,21.954031083,185.38014987,92.928455289
113,7.9746175116,0.0507010506,9.0944625596,42.432302907,5.2306079941,1.8966718996,8.721902439,12.032817305,13.128268245,327.44134099,18.488641037
114,14.911561587,30.263399596,7.2954374656,84.063486762,14.770556994,60.906422235,0.0083471145,14.368624883,48.738545853,187.07357026,279.77787583
115,10.342475417,10.908713234,12.736858846,68.8076938,10.392439209,22.141944424,481.94102526,17.462991424,27.651147822,167.00516845,103.5579206
116,8.611805261,41.315829497,5.7078099301,165.47219216,12.953936323,83.369271144,5.9809067612,16.820563819,63.060417092,212.36121394,371.36384909
117,13.508953129,42.260682773,7.7103442944,106.33389897,12.206393082,85.972861687,0.0003054153,13.133839922,56.004830623,156.18856644,354.75103564
118,10.238302762,0.2021837785,14.334626048,46.67786042,7.9005519259,1.4680450595,0.0758674732,10.9912901,10.796588047,150.75619399,6.0810210521
119,7.0740994765,52.726076374,10.957488518,108.28049178,7.705143612,107.5075391,3602.9324647,10.540688969,57.986067694,194.2118828,407.08221726
120,-1.893379147,0.3841080133,5.723845526,141.40565954,-0.337689085,1.1188522898,0.2769231629,10.31778004,11.83038072,228.48835158,18.609630059
121,8.6839649067,10.416364603,8.3301357754,145.12546177,7.6185074819,21.491817722,17.751192702,10.539688017,18.393755041,146.6843115,80.12367551
122,8.8648683965,0.0074863564,10.46337338,82.604613736,10.860735614,1.0343533705,18.885312596,10.896603268,14.106394084,189.78935408,26.922361873
123,9.5962986482,1.2753030799,7.3383703885,190.96018663,3.8496795757,4.942431888,0.016978929,14.79868556,14.842241169,120.32632411,20.243893581
124,7.7884171432,5.3317976483,5.3305634904,56.876491113,11.599271078,12.142608347,0.1491500491,14.296502901,19.190480062,125.51902833,53.921964613
125,11.559089046,0.9212309335,12.733914865,133.2296489,14.763942937,2.1313309693,0.0449729932,13.602653095,13.913594369,265.42147853,17.813882017
126,11.947252537,31.072681195,11.732894167,77.501277323,11.316005437,64.120232561,0.0087120995,11.496193272,42.034053262,373.40441078,255.93413246
127,14.090014087,3.0789867406,9.5977266946,138.04670936,17.421647486,10.833220872,0.0061632398,17.612570848,21.112214888,198.58817921,51.870306819
128,12.944094112,4.7774954045,7.4975322618,102.22999264,13.87679482,9.9927539197,0.647658123,16.610054634,22.168064974,358.29774246,61.631217697
129,7.7578395618,5.6277404267,12.927085263,98.257161823,15.295682219,12.249760847,2.8431727122,14.349815222,18.85209933,229.93500289,52.808927413
130,13.138436171,0.0894448883,13.334940834,178.92851336,16.863867537,0.2809590283,1746.1886682,12.598930718,8.7270344424,154.96460298,-3.055747813
131,10.727702301,1.7530386408,12.07418634,87.338520507,7.0557526074,4.7331150833,1.1180671562,17.261089231,18.656802639,293.19128694,31.207678171
132,10.428691586,0.0220366376,7.4292740842,68.274723337,7.7348167335,2.4851747632,3.6356411715,10.252140239,10.692424206,298.3948213,13.8732001
133,13.618794193,1.0570915863,6.5349798377,52.250334712,9.1343015303,6.7924490303,0.0053392713,12.827752051,16.341072436,193.96720631,30.674139991
134,14.500874342,12.02486577,6.3083562587,129.81153045,11.889754354,24.373543887,0.092380405,13.330170659,25.089308001,295.63782881,106.14466323
135,4.6269774228,3.5621573615,10.708051969,9.1424410439,2.8952116654,7.6755360834,148.54991381,16.872746597,18.763155027,179.91094641,35.508458764
136,-3.140979603,13.898162261,10.66670595,35.57714533,-5.157780289,28.482694131,0.0038167321,12.952774098,28.195082521,75.831717465,126.09746154
137,8.0128625787,0.0131588371,6.2093816005,175.11593086,11.754902403,1.7513938904,0.0861245681,10.532912433,10.745502504,83.655436673,11.657352442
138,18.524971891,0.9370082283,6.949397983,106.39556964,16.966521356,1.9810851869,15233.220831,12.743690585,11.972608348,179.08841083,8.5172646623
139,13.972676926,0.0090921897,11.788910868,219.42392442,10.351685651,0.3176638716,0.0803085139,10.865775802,10.334535561,275.83602219,11.681041869
140,5.2639790232,1.2617652965,9.8836726159,100.25575681,9.6942349099,5.3841210091,24.762361416,15.294829054,17.387649309,373.11062056,28.253432048
141,9.7837620768,1.460108164,11.556741319,98.580965862,8.9322250311,3.0894785755,0.9089812716,15.675576194,19.007012116,200.43055383,39.713136032
142,1.3496534777,0.454059792,11.983791481,133.45419523,0.7484627178,1.332085944,3.0492090857,13.951121958,17.97794029,203.24195296,40.165874958
143,14.909174454,0.0005417779,6.7253156433,58.435883105,14.806592461,3.7924041019,0.0118954353,17.476661861,16.090360962,129.99656234,12.310734031
144,11.667783229,0.0095675701,5.7693170247,8.0157223444,10.284884825,1.0272132675,0.0029950416,13.957069764,12.770783029,287.74373634,8.1400478999
145,12.311808595,0.4771211918,13.409537854,45.598508944,6.167809597,1.6471572424,0.2100992536,15.339551489,15.991208927,177.58657162,20.18650464
146,7.3645907745,0.0407071113,8.7618050509,85.371840499,4.4878135695,1.5094167969,0.0138131235,16.890238367,16.967751741,385.95667934,18.947383004
147,9.4817725854,1.1970377571,14.954675334,60.65933731,9.4285685832,3.559451208,0.0529403514,16.787941817,17.936438466,167.11460369,26.648174366
148,11.516560897,0.7215793538,13.417014558,92.90411191,2.3648256428,1.6475254102,0.0017681365,11.716160432,13.526499994,252.8880985,17.824903805
149,10.090346179,0.2260459787,13.069223411,126.98591499,4.7952798061,1.0452128266,11.929024124,11.048843578,8.5493108806,109.12173794,3.5264725395
150,9.5718107734,1.9553853958,5.041275532,118.70210772,8.0677616199,4.1661481582,0.1486041625,12.179105957,14.668159263,165.85934259,31.053980517
151,7.3739918878,2.4276607833,6.5601006204,44.280034895,2.4932727619,5.3809706824,0.0259794287,14.087213757,18.384695785,259.41081679,38.431225506
152,4.7867642482,0.1680518516,12.655670698,32.918259189,4.0640990547,1.0242084779,293.75742528,10.386392985,8.293026857,111.05440414,0.1823592984
153,20.153278223,0.7291038236,7.0575188389,92.344973558,19.768296791,1.9098894457,0.075132074,17.102813337,14.811504491,50.485007191,12.364976418
154,10.832230051,0.1252782798,7.0073613999,148.78740058,11.617265287,2.1817460304,24.644601461,10.925205574,12.923112584,-27.76538156,19.424340634
155,9.6304068233,0.5704393673,6.6527763808,122.91578,11.435399163,1.6441073651,0.0007210201,11.314552367,10.743348262,324.18667647,9.1867283707
156,8.3175073025,8.193573307,13.008709339,103.91680586,7.9760975036,17.265022694,3.4486145684,15.991467594,22.762505302,295.5367559,73.847597899
157,13.013102081,0.3620511115,10.411181546,80.070483537,11.410783263,1.7177829654,1388.8720655,12.119471309,8.9328412634,218.36290491,-1.366633142
158,10.83407491,20.909199155,7.3499216942,69.464850715,12.147874789,42.39007417,0.0007975412,16.784503526,40.540044149,154.47263546,192.25880258
159,12.017138145,117.97187891,8.9311921382,116.89004521,11.60673929,235.97297538,0.1896335376,12.35096438,132.4757393,124.1983078,964.78411753
160,3.5078390485,0.0135138007,14.247235367,140.69174661,2.6932332625,1.4677367194,80.348433199,12.97286825,13.139067154,136.76861902,15.438085791
161,1.169370431,0.0139348687,10.622210203,93.470016544,0.0623031487,1.0262138356,3.0453122176,11.035814837,9.4997089273,288.1932369,2.0123849248
162,5.2582315633,0.0560633571,13.99033213,129.42877057,7.4151330424,0.4172129647,1.0324055646,12.279483211,12.665681415,167.07280902,16.016201737
163,11.880280571,3.6204178169,11.469842809,9.5397893882,7.5892701424,7.6307341479,62.4314647,10.403233983,15.166977315,123.13582466,44.949682605
164,15.109306673,0.1554391793,13.734545246,62.326008051,14.630736067,0.7707503419,0.1577830537,12.507459116,13.044227701,175.38388118,15.355897772
165,8.0890274246,3.929997188,9.5603855488,141.59345644,6.5809949808,11.902940745,0.1223173281,14.886947385,17.208766301,180.1709196,37.650781335
166,0.4642014772,5.1514405083,11.562920206,87.044576404,0.0821501825,10.483835725,0.0021028314,15.172851788,19.034648245,230.03029928,50.591575503
167,11.903312725,2.0454433299,13.549065282,102.88711758,8.5799654926,7.2936164151,0.0016861979,12.830457666,16.493810858,335.51884051,41.122904981
168,6.5876549077,7.2606255244,7.8023083894,158.84177324,3.5381479579,14.956272179,1.8873707965,11.046724357,18.318460916,161.33062929,67.766567959
169,5.2329399789,17.289714482,14.716084767,138.18218264,0.7547773675,34.735542505,0.0004280096,11.104375076,28.407054418,148.56114365,152.66847061
170,7.6643928196,0.2481321893,5.5263497962,166.64676806,4.8509581237,2.3535930376,0.0001203722,16.688420973,20.561830984,252.84103565,39.740695604
171,0.2629797369,63.869831254,8.1623601928,48.232479107,3.3997800945,127.79430689,0.0019231104,11.008023423,74.370848537,233.81846107,521.87100416
172,9.2720566547,0.6916004506,11.794875016,150.93944516,10.762541277,4.9406546922,0.0008370346,10.652668849,13.26414295,114.978551,25.716265734
173,9.6886919413,16.008023057,6.332643829,44.747050514,12.624151859,35.38567974,1.560329134,13.536385925,30.25556818,296.71725048,144.57353872
174,19.602572092,11.491011732,11.919398972,102.68451761,21.520052181,23.218205189,19.715053568,13.648660885,23.335888712,202.02735335,96.43774903
175,3.1363744184,5.1797659615,14.767952231,49.557862601,5.864591576,10.51770749,0.0025413721,13.225281784,16.052219875,31.555659352,42.649967833
176,8.9724338182,31.991486618,10.646937585,61.486845816,9.8242680564,66.091783977,0.7745027061,17.254258688,51.550626644,287.33492346,288.04399799
177,1.8310113652,2.8487708517,9.8465812927,32.859876255,0.3019530606,7.7999868869,0.021230782,10.403105911,13.974142953,57.535823478,42.989116434
178,14.897656639,2.4703386657,10.203166183,84.983394655,19.522062382,5.8567907281,0.0089678403,10.913819448,16.008076271,305.55211157,41.230545238
179,3.909839753,0.0355777166,6.1341974657,81.073476808,8.8675132755,2.5387586794,14.870794767,17.745919499,15.770583583,408.61457744,8.1038725501
180,6.5178516381,0.0674591097,5.5879494364,170.50446685,8.9954892318,0.1629200066,1.584989448,12.555321426,11.207569251,227.03093664,8.4282453927
181,5.6253527258,0.0960603426,6.1103100707,151.12669517,4.3961667891,0.8185337072,7.1512489679,17.472375706,18.985780716,247.57877319,26.268933192
182,12.633191281,66.974291485,6.7964158448,68.52873137,16.544594311,136.66210831,0.2512349008,16.572745531,85.976108295,95.533767089,567.80656872
183,0.1221343728,13.471234953,13.469712491,130.24259868,1.0156733614,28.28822526,0.0031470727,13.558915654,28.369534699,95.307780629,125.56302516
184,5.4776348367,0.032603133,10.180739013,134.48897682,7.9310262153,0.1619831786,0.0395121732,14.017343191,15.090801524,296.67849532,17.735162974
185,8.9107014792,2.1031422906,6.3658728457,120.14223095,11.044684181,4.6023896168,0.0031754376,11.424046752,13.376891356,-32.81998753,28.321364477
186,5.0450110693,4.6976072693,11.080538731,118.70610215,4.7721741097,10.26529966,0.037631656,14.151042709,17.632157744,195.59265312,49.406118902
187,13.623405626,59.493799723,9.6519890542,88.472535589,9.8421151762,120.53238571,0.000851688,12.157845852,72.105547011,280.5565226,487.44146155
188,20.333636552,6.2483594936,14.305519396,70.080688378,25.739398532,12.794639718,0.0019950872,15.208845968,20.832210971,130.42648491,65.987040175
189,15.093562831,0.2474228661,7.8614969332,82.398678111,17.25495365,6.5339195195,1.8315778119,16.445227004,20.472763572,143.64555017,29.553818445
190,13.954922349,13.097264204,9.3270718885,120.70653164,11.034956559,29.119654855,0.0071609412,15.46050902,31.769790917,325.11696798,131.48503587
191,8.5433885194,55.837478898,11.466680391,148.25845862,7.0592701495,113.06914317,0.4523156514,13.526689758,71.970605123,143.02135087,477.29350286
192,6.9702170732,0.9034240725,9.1303193216,61.272573277,12.142152636,1.9983520143,0.9475436093,16.048109333,15.87435546,274.42563103,18.080132875
193,10.790942759,37.165418499,9.6457784691,75.715746651,14.111996286,74.465026612,0.4290001034,10.856112402,48.653136139,241.56479533,305.8443301
194,8.5808054223,0.0428292645,14.35606102,92.702119388,11.443643047,1.6395534576,0.2980865866,14.684115907,15.313551597,275.11550683,16.544701115
